Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Polkadot,Solana,Tether,"USD Coin",XRP
"2021-01-01 00:00",38.12908476,29334.08803938,0.18024012,0.005442,739.83358225,8.79330854,1.77870504,1.00289402,1.00063521,0.23609054
"2021-01-02 00:00",37.93081475,31121.72891415,0.17669555,0.00918703,756.43060735,8.7814894,1.75130173,0.99724909,0.99617094,0.228141
"2021-01-03 00:00",39.64660949,33219.1422394,0.18931428,0.01114464,887.59790235,9.3739035,2.15823825,0.98813704,0.98988886,0.22314484
"2021-01-04 00:00",40.4380342,31753.77898189,0.21687483,0.00971996,1010.4665939,9.66129705,2.41147205,0.99891207,0.99847175,0.23551531
"2021-01-05 00:00",40.64436526,32703.95687901,0.23792589,0.00956831,1065.22704462,9.58968855,2.16817614,1.00129251,0.99955058,0.23093525
"2021-01-06 00:00",41.56625543,35281.744654,0.29003904,0.01019781,1151.1168254,9.88020763,1.98058801,1.00233446,0.99925783,0.24367123
"2021-01-07 00:00",43.471266,38500.21233702,0.32407187,0.01007642,1224.21696854,9.98047281,2.34249352,1.00166224,0.99809424,0.31769905
"2021-01-08 00:00",42.48978513,39911.24061688,0.29996901,0.00953208,1200.5076303,9.3450486,3.24143046,1.00266898,0.99801585,0.31990909
"2021-01-09 00:00",43.198096,40467.94118697,0.31697504,0.01022416,1234.00046668,9.38769352,3.31708594,0.99873715,0.99614274,0.32457562
"2021-01-10 00:00",43.49588391,39344.9744609,0.32150695,0.01023893,1297.88789555,9.53589597,3.50314979,0.99863989,0.99658138,0.33214555
"2021-01-11 00:00",38.09278684,34283.2125896,0.26733312,0.00841974,1062.82227264,8.03155596,2.92508895,1.00223669,0.99985926,0.28436519
"2021-01-12 00:00",38.45051856,34700.9341376,0.28427949,0.00838616,1080.02423231,8.25862182,3.49616588,0.99980036,0.99970042,0.29341664
"2021-01-13 00:00",38.89956445,34710.81191093,0.28867714,0.00813064,1073.18668033,9.57478535,3.54196115,0.99958385,0.99998107,0.29927137
"2021-01-14 00:00",41.18921329,38560.41047765,0.31131659,0.0090609,1171.01862267,11.97758828,3.40582885,0.99819493,0.99938019,0.29600257
"2021-01-15 00:00",41.33703965,37280.22355769,0.31626764,0.00935391,1193.1356712,13.8331722,3.17610513,1.00027118,1.00111081,0.28420822
"2021-01-16 00:00",43.03625207,37469.04598561,0.34945435,0.00935708,1240.75448429,16.6207952,3.49506207,1.00270004,1.0014513,0.28456154
"2021-01-17 00:00",42.78054747,35632.74409525,0.37383131,0.00915625,1225.15566643,17.27851373,3.74123162,1.00252261,1.00123415,0.27763357
"2021-01-18 00:00",45.35427545,36212.61813446,0.37531744,0.00910413,1231.09753062,17.18238035,3.86787417,1.00205346,1.00095744,0.28232791
"2021-01-19 00:00",44.03915665,36858.10119312,0.37323617,0.0092359,1380.84179599,16.82586785,3.73398557,1.00086399,0.99931377,0.30216666
"2021-01-20 00:00",42.10193203,35145.95677361,0.3566244,0.0089655,1328.99228123,16.19660992,3.63213258,1.00152986,1.0003921,0.29107952
"2021-01-21 00:00",40.49076819,32535.13983054,0.3431381,0.00858744,1239.08180817,16.57096292,3.13125129,1.00010111,0.99997703,0.28329687
"2021-01-22 00:00",40.52393994,31945.98810082,0.32830534,0.00840176,1194.03835867,16.79319515,3.38692957,1.00129888,1.00015881,0.27052388
"2021-01-23 00:00",41.22062457,32361.51013354,0.34704624,0.00862674,1241.75612241,17.80004684,3.43777919,1.00100171,1.00007014,0.27404918
"2021-01-24 00:00",41.65225494,32210.64646379,0.35420243,0.00871048,1324.20192079,17.97189467,3.42770633,1.00128798,0.99997298,0.27371289
"2021-01-25 00:00",42.12630741,33570.01518649,0.35865393,0.00866918,1401.48652051,18.15975327,3.57772334,1.0013551,1.00056634,0.27618262
"2021-01-26 00:00",41.68993927,32164.77357996,0.34329946,0.00829257,1334.30417078,17.07152522,3.95261497,1.00104004,0.99990586,0.2675623
"2021-01-27 00:00",41.48032479,31010.88371557,0.32233894,0.00774303,1277.12009162,15.86591598,3.71872543,1.00285878,1.00062984,0.25633301
"2021-01-28 00:00",42.31118326,31835.41872759,0.33523848,0.01467174,1304.73653487,16.65568463,3.8141084,1.00050829,0.99921021,0.25935785
"2021-01-29 00:00",43.21720282,35267.21451297,0.35302166,0.05051258,1371.75844672,16.90577765,3.86098508,1.00036812,0.99956171,0.28387602
"2021-01-30 00:00",44.59017956,34148.74484957,0.35580933,0.03179334,1362.56607132,16.62710271,4.15823899,1.00103156,0.99993859,0.3863143
"2021-01-31 00:00",44.75731616,33480.86351946,0.35541189,0.03417721,1340.47440062,16.54414145,4.2360336,1.00267384,1.00045686,0.46176759
"2021-02-01 00:00",50.00877097,33816.64767241,0.36628937,0.03840611,1331.80111843,16.13059005,4.45551437,1.0020143,1.00057694,0.47906137
"2021-02-02 00:00",51.51096034,34968.98406896,0.4225123,0.03250448,1463.48787963,16.85915574,5.19498311,1.00062487,1.00010307,0.37154852
"2021-02-03 00:00",51.85461507,36616.97828651,0.42985296,0.03437077,1574.34281227,19.02551878,5.53814868,0.9997185,0.9994428,0.38525036
"2021-02-04 00:00",55.00598472,37557.46847077,0.43206423,0.04915368,1646.82279191,20.56945607,6.12059343,1.00230845,1.00061292,0.42082977
"2021-02-05 00:00",64.84013115,37717.40280879,0.5183111,0.04699865,1692.80963613,20.80136193,6.43418029,1.0000159,0.99936899,0.44326282
"2021-02-06 00:00",71.54785778,39503.65205266,0.59449207,0.05309037,1682.94583095,20.32840517,6.0087746,0.9994693,0.99849727,0.43673373
