Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Tether,"USD Coin",XRP
"2019-07-29 00:00",26.8639537,9497.97185768,0.05990328,0.00275623,209.7010272,0.9951517,0.99890223,0.31154694
"2019-07-31 00:00",27.79197125,9967.80912642,0.05917996,0.00276813,214.74089142,0.99603208,0.9991154,0.31834793
"2019-08-02 00:00",28.07473217,10551.31294295,0.0567396,0.00279209,218.47417019,0.99998813,0.99403398,0.31288784
"2019-08-04 00:00",27.6065438,11139.4433829,0.05673904,0.00294564,224.16887075,1.00078953,0.99521906,0.31852053
"2019-08-06 00:00",27.91353571,11693.73271242,0.0542702,0.0029048,225.90073882,1.00046621,0.99581372,0.31222601
"2019-08-08 00:00",30.72019244,11779.46574147,0.05002104,0.00283341,216.8324435,0.99914833,0.99197603,0.30378327
"2019-08-10 00:00",29.96082844,11623.35023246,0.05309235,0.00296289,212.48308077,1.00816599,1.02242313,0.30242165
"2019-08-12 00:00",29.90389665,11294.04777883,0.05257289,0.00287875,210.57983192,1.00324543,0.99955813,0.29896287
"2019-08-14 00:00",27.73801799,10206.72251777,0.048322,0.00263427,190.30379904,0.99775064,0.9850713,0.26749112
"2019-08-16 00:00",27.62147481,10262.46468545,0.04673399,0.00266105,184.71985318,1.00023857,1.0035106,0.26286397
"2019-08-18 00:00",28.12113825,10440.21128003,0.0494608,0.00270734,194.49389482,1.00005247,1.00323228,0.28020934
"2019-08-20 00:00",27.75554713,10521.85874126,0.0487295,0.00273292,193.36205335,1.00035719,1.0027526,0.27095415
"2019-08-22 00:00",26.91627906,10191.79385162,0.04958786,0.0026667,191.72410699,1.0001205,1.00614547,0.27147199
"2019-08-24 00:00",26.13231615,10096.69931091,0.04929138,0.00258947,189.1495997,0.99806986,0.96898175,0.27050963
"2019-08-26 00:00",25.76276343,10282.51911042,0.04885388,0.00260145,188.56496649,1.00662494,1.00185256,0.27037383
"2019-08-28 00:00",23.41755339,9700.74088614,0.04465019,0.002425,173.76050789,1.00038802,0.97974462,0.25623693
"2019-08-30 00:00",22.07637666,9561.77348205,0.04446182,0.0024449,169.34304256,0.99995387,0.99770133,0.25580213
"2019-09-01 00:00",21.75706371,9834.87841614,0.04452992,0.00244943,173.47322523,1.00089655,0.99765874,0.25680783
