Date,crypto,cryptocurrency,bitcoin,BTC,ethereum,ETH,binance,BNB,cardano,ADA,tether,USDT,XRP,solana,SOL,polkadot,DOT,USDC,doge,dogecoin,v(Binance Coin),v(Bitcoin),v(Cardano),v(Dogecoin),v(Ethereum),v(Polkadot),v(Solana),v(Tether),v(USD Coin),v(XRP)
2020-12-13,10.0,14.0,28.0,6.0,12.0,22.0,1.0,35.0,6.0,46.0,25.0,11.0,22.0,7.0,79.0,15.0,73.0,26.0,5.0,1.0,28.95512195,19160.72496956,0.15423432,0.00320606,582.56974936,4.86403267,1.57122897,0.99915125,0.99973682,0.50987029
2020-12-14,10.142857142857142,14.0,28.0,6.0,12.142857142857142,21.857142857142858,1.1428571428571428,34.857142857142854,6.0,45.0,25.428571428571427,11.142857142857142,25.571428571428573,7.142857142857143,78.57142857142857,14.571428571428571,73.28571428571429,25.285714285714285,5.142857142857143,1.1428571428571428,29.60496063,19205.44027267,0.15586327,0.00324277,585.78912793,4.90274475,1.58338854,1.0007768,0.9999714,0.50271141
2020-12-15,10.285714285714285,14.0,28.0,6.0,12.285714285714285,21.714285714285715,1.2857142857142856,34.71428571428571,6.0,44.0,25.857142857142854,11.285714285714285,29.142857142857146,7.2857142857142865,78.14285714285714,14.142857142857142,73.57142857142858,24.57142857142857,5.2857142857142865,1.2857142857142856,29.86390196,19408.60110376,0.15566071,0.00322029,589.66520044,5.07795919,1.749345,1.0005743,0.99990655,0.48456561
2020-12-16,10.428571428571427,14.0,28.0,6.0,12.428571428571427,21.571428571428573,1.4285714285714284,34.57142857142856,6.0,43.0,26.28571428571428,11.428571428571427,32.714285714285715,7.42857142857143,77.71428571428571,13.714285714285714,73.85714285714288,23.857142857142854,5.42857142857143,1.4285714285714284,29.82703667,20345.22928698,0.15845785,0.00328788,611.69975727,5.21287814,1.76529828,1.0001948,0.99907227,0.49978708
2020-12-17,10.57142857142857,14.0,28.0,6.0,12.57142857142857,21.42857142857143,1.5714285714285712,34.428571428571416,6.0,42.0,26.714285714285708,11.57142857142857,36.285714285714285,7.571428571428573,77.28571428571428,13.285714285714285,74.14285714285717,23.14285714285714,5.571428571428573,1.5714285714285712,30.67119888,22610.29711801,0.16753994,0.00373034,650.6928425,5.46053215,1.70061711,0.99940282,0.99888774,0.58106149
2020-12-18,10.714285714285712,14.0,28.0,6.0,12.714285714285712,21.28571428571429,1.714285714285714,34.28571428571427,6.0,41.0,27.142857142857135,11.714285714285712,39.857142857142854,7.714285714285716,76.85714285714285,12.857142857142856,74.42857142857146,22.428571428571423,5.714285714285716,1.714285714285714,30.8171426,22931.88197267,0.16449191,0.00379628,647.14722611,5.37472219,1.68256469,1.00094828,0.99974175,0.58376126
2020-12-19,10.857142857142854,14.0,28.0,6.0,12.857142857142854,21.142857142857146,1.8571428571428568,34.142857142857125,6.0,40.0,27.571428571428562,11.857142857142854,43.42857142857142,7.857142857142859,76.42857142857142,12.428571428571427,74.71428571428575,21.714285714285708,5.857142857142859,1.8571428571428568,33.2353447,23517.02812045,0.1672926,0.00394265,660.06117386,5.43211511,1.69338724,1.0012137,0.99925338,0.58260611
2020-12-20,11.0,14.0,28.0,6.0,13.0,21.0,2.0,34.0,6.0,39.0,28.0,12.0,47.0,8.0,76.0,12.0,75.0,21.0,6.0,2.0,34.58662573,23610.73062287,0.16474796,0.00444545,650.26274725,5.29465625,1.5910329,1.00167643,0.9994406,0.57276426
2020-12-21,11.428571428571429,14.571428571428571,29.714285714285715,6.285714285714286,14.285714285714286,22.285714285714285,2.0,35.0,6.285714285714286,38.714285714285715,29.0,12.428571428571429,46.714285714285715,8.285714285714286,76.14285714285714,16.0,75.14285714285714,22.571428571428573,6.142857142857143,2.2857142857142856,33.77196809,23257.03383046,0.15754427,0.00484122,626.59642907,5.06184685,1.5060838,1.00093755,0.99991047,0.54001742
2020-12-22,11.857142857142858,15.142857142857142,31.42857142857143,6.571428571428571,15.571428571428573,23.57142857142857,2.0,36.0,6.571428571428571,38.42857142857143,30.0,12.857142857142858,46.42857142857143,8.571428571428573,76.28571428571428,20.0,75.28571428571428,24.142857142857146,6.2857142857142865,2.571428571428571,32.97404784,23285.32500062,0.15675335,0.00464669,618.16003761,5.00927496,1.55860726,1.00139421,1.00052893,0.46607561
